"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_civhatchbackdoors_trunk1","Trunk door of the VW Golf II hatchback. Used for keeping trunk contents closed.","Trunk door of the VW Golf II hatchback. Used for keeping trunk contents closed.","Dveře od kufru hatchbacku Gunter 2. Slouží k uzavření nákladu v kufru.","Hecktür der VW Golf II-Kombilimousine. Schützt den Inhalt des Kofferraums.","Дверь багажника хэтчбека VW Golf II. Не дает содержимому багажника выпасть.","Klapa bagażnika od hatchbacka VW Golf II. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk door of the VW Golf II hatchback. Used for keeping trunk contents closed.","Il portellone posteriore della due volumi VW Golf II. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero del VW Golf II. Evita que las cosas se caigan del maletero.","Un hayon pour Gunter 2. Permet de fermer le coffre et d'en protéger le contenu.","VW Golf II 掀背車的車廂門。鎖住車廂內的物品。","VW Golf II ハッチバックのトランクのドア。トランクに入れた物が飛び出さないように使用される。","Trunk door of the VW Golf II hatchback. Used for keeping trunk contents closed.","VW Golf II 掀背车的后备箱门。用于关住后备箱中的东西。",

"str_iz_sedan_02_door_2_20","Škoda 120 Rear Right Door","Škoda 120 Rear Right Door","Pravé zadní dveře Škoda 120","Škoda 120 Tür hinten rechts","Задняя правая дверь Škoda 120","Tylne prawe drzwi od Škoda 120","Škoda 120 Rear Right Door","Portiera posteriore destra Škoda 120","Puerta derecha trasera de Škoda 120","Portière ARD de Škoda 120","Škoda 120 右後門","Škoda 120 セダン 右後ろのドア","Škoda 120 Rear Right Door","Škoda 120 右后车门",
"str_iz_sedan_02_door_2_21","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","Pravé zadní dveře vozidla Škoda 120. Zajišťují bezpečnost cestujícího uvnitř auta.","Rechte Hintertür des Škoda 120. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя правая дверь Škoda 120. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od Škoda 120. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore destra della Škoda 120. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera del Škoda 120. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour la Škoda 120. Protège le passager arrière droit.","Škoda 120 的右後門。使後座乘客安全的坐在車內。","Škoda 120 セダンの右後ろのドア。後部席の人も安全に乗れる。","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","Škoda 120 的右后车门。可确保车内后座位上乘客的安全。",

"str_iz_sedan_02_door_1_10","Škoda 120 Front Left Door","Škoda 120 Front Left Door","Levé přední dveře Škoda 120","Škoda 120 Tür vorne links","Передняя левая дверь Škoda 120","Przednie lewe drzwi od Škoda 120","Škoda 120 Front Left Door","Portiera anteriore sinistra Škoda 120","Puerta izquierda delantera de Škoda 120","Portière AVG de Škoda 120","Škoda 120 左前門","Škoda 120 セダン 左前のドア","Škoda 120 Front Left Door","Škoda 120 左前车门",
"str_iz_sedan_02_door_1_11","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","Levé přední dveře vozidla Škoda 120. Chrání řidiče uvnitř vozu.","Linke Vordertür des Škoda 120. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь Škoda 120. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od Škoda 120. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","La portiera anteriore sinistra della Škoda 120. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del Škoda 120. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour la Škoda 120. Protège le conducteur.","Škoda 120 的左前門，保持駕駛員在車內的安全。","Škoda 120 セダンの左前のドア。運転席の人も安全に乗れる。","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","Škoda 120 左前车门，可确保车内驾驶员的安全。",

"str_iz_sedan_02_door_2_10","Škoda 120 Front Right Door","Škoda 120 Front Right Door","Pravé přední dveře Škoda 120","Škoda 120 Tür vorne rechts","Передняя правая дверь Škoda 120","Przednie prawe drzwi od Škoda 120","Škoda 120 Front Right Door","Portiera anteriore destra Škoda 120","Puerta derecha delantera de Škoda 120","Portière AVD de Škoda 120","Škoda 120 右前門","Škoda 120 セダン 右前のドア","Škoda 120 Front Right Door","Škoda 120 右前车门",
"str_iz_sedan_02_door_2_11","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","Pravé přední dveře vozidla Škoda 120. Chrání spolujezdce vepředu.","Rechte Vordertür des Škoda 120. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь Škoda 120. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od Škoda 120. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","La portiera anteriore destra della Škoda 120. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera del Škoda 120. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour la Škoda 120. Protège le passager avant.","Škoda 120 的右前門，保持副駕駛在車內的安全。","Škoda 120 セダンの右前のドア。助手席の人も安全に乗れる。","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","Škoda 120 右前车门，可确保车内驾驶员的安全。",

"str_iz_sedan_02_door_1_20","Škoda 120 Rear Left Door","Škoda 120 Rear Left Door","Levé zadní dveře Škoda 120","Škoda 120 Tür hinten links","Задняя левая дверь Škoda 120","Tylne lewe drzwi od Škoda 120","Škoda 120 Rear Left Door","Portiera posteriore sinistra Škoda 120","Puerta izquierda trasera de Škoda 120","Portière ARG de Škoda 120","Škoda 120 左後門","Škoda 120 セダン 左後ろのドア","Škoda 120 Rear Left Door","Škoda 120 左后车门",
"str_iz_sedan_02_door_1_21","Rear left door of the Škoda 120 that keeps the passenger in back seat safe inside the vehicle.","Rear left door of the Škoda 120 that keeps the passenger in back seat safe inside the vehicle.","Levé zadní dveře vozidla Škoda 120. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Linke Hintertür des Škoda 120. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя левая дверь Škoda 120. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od Škoda 120. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the Škoda 120 that keeps the passenger in back seat safe inside the vehicle.","La portiera posteriore sinistra della Škoda 120. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera del Škoda 120. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour la Škoda 120. Protège le passager arrière gauche.","Škoda 120 的左後門，使後座乘客安全的坐在車內。","Škoda 120 セダン セダンの左後ろのドア。後部席の人も安全に乗れる。","Rear left door of the Škoda 120 that keeps the passenger in back seat safe inside the vehicle.","Škoda 120 左后车门，可确保车内后座乘客的安全。",

"str_iz_sedan_02_hood0","Škoda 120 Hood","Škoda 120 Hood","Kapota Škoda 120","Škoda 120 Motorhaube","Капот Škoda 120","Maska od Škoda 120","Škoda 120 Hood","Cofano Škoda 120","Capó de Škoda 120","Capot de Škoda 120","Škoda 120 引擎蓋","Škoda 120 セダン ボンネット","Škoda 120 Hood","Škoda 120 引擎盖",
"str_iz_sedan_02_hood1","Hood of the Škoda 120. Used for keeping hood contents safe.","Hood of the Škoda 120. Used for keeping hood contents safe.","Kapota vozidla Škoda 120. Používá se k zabezpečení součástek pod kapotou.","Motorhaube für den Škoda 120. Schützt, was unter der Motorhaube aufbewahrt wird.","Капот Škoda 120. Обеспечивает безопасность содержимого капота.","Maska od Škoda 120. Chroni znajdującą się pod nią zawartość.","Hood of the Škoda 120. Used for keeping hood contents safe.","Il cofano della Škoda 120. Utilizzato per mantenere al sicuro il contenuto protetto dal portello.","Capó del Škoda 120. Se usa para mantener a salvo lo que haya bajo el capó.","Capot de Škoda 120. Protège le contenu du coffre contre les intempéries.","Škoda 120 引擎蓋。適用於確保引擎蓋內物品的安全。","Škoda 120 セダンのボンネット。ボンネット内の物を保護してくれる。","Hood of the Škoda 120. Used for keeping hood contents safe.","Škoda 120 的引擎盖。用于确保引擎盖内物品的安全。",

"str_iz_sedan_02_trunk0","Škoda 120 Trunk Door","Škoda 120 Trunk Door","Dveře od kufru Škoda 120","Škoda 120 Hecktür","Дверь багажника Škoda 120","Klapa bagażnika od Škoda 120","Škoda 120 Trunk Door","Portellone posteriore Škoda 120","Puerta del maletero de Škoda 120","Hayon de Škoda 120","Škoda 120 車廂門","Škoda 120 セダン トランクドア","Škoda 120 Trunk Door","Škoda 120 后备箱门",
"str_iz_sedan_02_trunk1","Trunk door of the Škoda 120 that helps to protect the engine and other sensitive car parts.","Trunk door of the Škoda 120 that helps to protect the engine and other sensitive car parts.","Dveře od kufru vozidla Škoda 120. Chrání motor a další citlivé části auta.","Hecktür des Škoda 120. Schützt den Motor und andere empfindliche Wagenteile.","Дверь багажника Škoda 120. Помогает защитить двигатель и другие важные детали автомобиля.","Klapa bagażnika od Škoda 120 chroniąca silnik i inne delikatne części samochodu.","Trunk door of the Škoda 120 that helps to protect the engine and other sensitive car parts.","Il portellone posteriore della Škoda 120. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Puerta del maletero del Škoda 120. Ayuda a proteger el motor y otras partes importantes del coche.","Un hayon de Škoda 120. Protège le moteur et les pièces essentielles du véhicule.","Škoda 120 的車廂門，保護引擎與其他脆弱零件。","Škoda 120 セダンのトランクのドア。エンジンやその他の繊細な車のパーツを保護してくれる。","Trunk door of the Škoda 120 that helps to protect the engine and other sensitive car parts.","Škoda 120 的后备箱门，可帮助保护发动机和其他易损汽车部件。",

"str_iz_v3shood0","Praga V3S Hood","Praga V3S Hood","Kapota Praga V3S","Praga V3S-Motorhaube","Капот Praga V3S","Maska od Praga V3S","Praga V3S Hood","Cofano Praga V3S","Capó de Praga V3S","Capot de MS3","Praga V3S 引擎蓋","Praga V3S ボンネット","Capô Praga V3S","Praga V3S 引擎罩",
"str_iz_v3shood1","Hood of the Praga V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.","Hood of the Praga V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.","Kapota terénního náklaďáku Praga V3S. Chrání motor před rozmary počasí nebo nečekanými nárazy.","Motorhaube des Praga V3S-Offroad-LKW. Schützt den Motor vor den Einflüssen der Natur und unerwarteten Einschlägen.","Капот внедорожника Praga V3S. Помогает защитить двигатель от неблагоприятных погодных условий или неожиданного удара.","Maska ciężarówki terenowej Praga V3S. Chroni silnik przed siłami natury i niespodziewanymi uderzeniami.","Hood of the Praga V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.","Il cofano del camion da fuoristrada Praga V3S. Aiuta a proteggere il motore dalle forze della natura o da urti inaspettati.","Capó de la camioneta todoterreno Praga V3S. Ayuda a proteger el motor de las fuerzas de la naturaleza o de impactos inesperados.","Un capot pour camion tout-terrain Praga V3S. Permet de protéger le moteur contre les éléments ou les impacts.","Praga V3S 越野車的引擎蓋。保護引擎免受自然環境影響或出乎意料的撞擊。","Praga V3S オフロードトラックのボンネット。自然の力または予期しない衝撃からエンジンを保護してくれる。","Capô do caminhão off-road Praga V3S. Ajuda a proteger o motor contra forças da natureza ou impactos inesperados.","Praga V3S 越野卡车的引擎盖。可保护发动机，抵御自然力的侵袭或意外撞击。",

"str_iz_v3sdoors_driver0","Praga V3S Left Door","Praga V3S Left Door","Levé dveře Praga V3S","Praga V3S-Tür links","Левая дверь Praga V3S","Lewe drzwi od Praga V3S","Praga V3S Left Door","Portiera sinistra Praga V3S","Puerta izquierda de Praga V3S","Portière gauche de MS3","Praga V3S 左門","Praga V3S 左のドア","Porta esquerda Praga V3S","Praga V3S 左门",
"str_iz_v3sdoors_driver1","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","Levé přední dveře terénního náklaďáku Praga V3S. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Vordertür des Praga V3S-Offroad-LKW. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь внедорожника Praga V3S. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od ciężarówki terenowej Praga V3S. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Praga V3S off-road truck. Keeps the driver safe inside the vehicle.","La portiera anteriore sinistra del camion da fuoristrada Praga V3S. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera de la camioneta todoterreno Praga V3S. Mantiene al piloto a salvo dentro del vehículo.","Une portière avant gauche pour camion tout-terrain Praga V3S. Permet de protéger le conducteur.","Praga V3S 越野卡車的左前門。保持駕駛在車內的安全。","Praga V3S オフロードトラックの左前のドア。運転席の人も安全に乗れる。","Porta dianteira esquerda do caminhão Praga V3S. Mantém o motorista seguro dentro do veículo.","Praga V3S 越野卡车的左前车门。可确保驾驶员在车内的安全。",

"str_iz_v3sdoors_codriver0","Praga V3S Right Door","Praga V3S Right Door","Pravé dveře Praga V3S","Praga V3S-Tür rechts","Правая дверь Praga V3S","Prawe drzwi od Praga V3S","Praga V3S Right Door","Portiera destra Praga V3S","Puerta derecha de Praga V3S","Portière droite de MS3","Praga V3S 右門","Praga V3S 右のドア","Porta direita Praga V3S","Praga V3S 右门",
"str_iz_v3sdoors_codriver1","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","Pravé přední dveře terénního náklaďáku Praga V3S. Zajišťují bezpečnost spolujezdce uvnitř auta.","Rechte Vordertür des Praga V3S-Offroad-LKW. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь внедорожника Praga V3S. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od ciężarówki terenowej Praga V3S. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Praga V3S off-road truck. Keeps the co-driver safe inside the vehicle.","La portiera anteriore destra del camion da fuoristrada Praga V3S. Mantiene il co-pilota al sicuro all’interno del veicolo.","Puerta derecha delantera de la camioneta todoterreno Praga V3S. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour camion tout-terrain Praga V3S. Permet de protéger le passager.","Praga V3S 越野卡車的右前門。保持副駕駛在車內的安全。","Praga V3S オフロードトラックの右前のドア。助手席の人も安全に乗れる。","Porta dianteira direita do caminhão Praga V3S. Mantém o copiloto seguro dentro do veículo.","Praga V3S 越野卡车的右前车门。可确保副驾驶员在车内的安全。",
